	TF1	TF2
Cell0	6e-06	2.2e-05
Cell1	0.056732	0.078233
Cell2	1e-06	1e-06
Cell3	0.002532	0.006904
Cell4	1e-06	1e-06
Cell5	2.2e-05	1.8e-05
Cell6	4e-06	1.1e-05
Cell7	1e-06	1e-06
Cell8	1e-06	1e-06
Cell9	0.033989	0.057372
Cell10	0.000278	6.7e-05
Cell11	0.005761	0.005314
Cell12	1e-06	1e-06
Cell13	1e-06	1e-06
Cell14	0.02607	0.020188
Cell15	2e-06	1e-06
Cell16	0.022968	0.019216
Cell17	1e-06	1e-06
Cell18	3.6e-05	7e-06
Cell19	0.149175	0.097121
Cell20	0.000446	0.000416
Cell21	0.1072	0.167574
Cell22	1e-06	1e-06
Cell23	1e-06	1e-06
Cell24	0.000174	0.00011
Cell25	0.764151	0.87873
Cell26	0.654532	0.713977
Cell27	0.511077	0.404992
Cell28	1e-06	1e-06
Cell29	1e-06	1e-06
Cell30	1e-06	1e-06
Cell31	1e-06	1e-06
Cell32	0.003692	0.01171
Cell33	1e-06	1e-06
Cell34	1e-06	1e-06
Cell35	1e-06	1e-06
Cell36	1e-06	1e-06
Cell37	1e-06	1e-06
Cell38	1e-06	1e-06
Cell39	1e-06	1e-06
Cell40	1e-06	1e-06
Cell41	0.016913	0.007838
Cell42	1e-06	1e-06
Cell43	0.580684	0.567836
Cell44	1e-06	1e-06
Cell45	1e-06	1e-06
Cell46	1e-06	1e-06
Cell47	0.000358	0.000204
Cell48	1.8e-05	3.2e-05
Cell49	3.8e-05	0.00013
Cell50	1e-06	1e-06
Cell51	0.018271	0.041409
Cell52	1e-06	1e-06
Cell53	1e-06	1e-06
Cell54	1e-06	1e-06
Cell55	0.633985	0.574092
Cell56	1e-06	1e-06
Cell57	1e-06	1e-06
Cell58	1e-06	1e-06
Cell59	9.4e-05	2.7e-05
Cell60	1e-06	1e-06
Cell61	1e-06	1e-06
Cell62	0.007729	0.010734
Cell63	1e-06	1e-06
Cell64	0.001168	0.001168
Cell65	0.685678	0.46345
Cell66	1e-06	1e-06
Cell67	0.00133	0.003182
Cell68	1e-06	1e-06
Cell69	1e-06	1e-06
Cell70	1e-06	1e-06
Cell71	1e-06	1e-06
Cell72	1e-06	1e-06
Cell73	1e-06	1e-06
Cell74	1e-06	1e-06
Cell75	1e-06	1e-06
Cell76	0.326781	0.315501
Cell77	1e-06	1e-06
Cell78	1e-06	1e-06
Cell79	1e-06	1e-06
Cell80	1e-06	1e-06
Cell81	0.02182	0.015631
Cell82	1e-06	1e-06
Cell83	1e-06	1e-06
Cell84	1e-06	1e-06
Cell85	1e-06	1e-06
Cell86	0.418428	0.574092
Cell87	0.000927	0.001434
Cell88	0.271484	0.437816
Cell89	3.5e-05	0.000108
Cell90	0.0004	0.00011
Cell91	1e-06	1e-06
Cell92	1e-06	1e-06
Cell93	1e-06	1e-06
Cell94	0.00819	0.003692
Cell95	1e-06	1e-06
Cell96	1e-06	1e-06
Cell97	1e-06	1e-06
Cell98	0.399721	0.654532
Cell99	1e-06	1e-06
