Symbols	upDownList	targetList	upDownCount	RS	whichRS	whichRSList	rankLessThanActual	pValue	pValueCorrected
IRF1	[1, 1, 1, -1, 1]	['PSMB9', 'TAP1', 'CXCL10', 'CDKN1A', 'STAT1']	5	154	-1	[ 9 14 40 12 79]	4	8e-05	0.006560000000000001
BCL6	[-1, -1, 1]	['CDKN1A', 'LITAF', 'STAT1']	3	152	-1	[12 79 61]	847	0.01694	0.4881733333333334
RUNX3	[-1, 1, 1, -1, -1, -1, 1]	['HES1', 'CDKN1A', 'SPP1', 'CCND1', 'WNT4', 'HSPD1', 'CLDN7']	7	712	+1	[ 79   4 236  59  52  83 199]	893	0.01786	0.4881733333333334
KAT2B	[-1, 1, 1]	['IRF7', 'CDKN1A', 'HEY1']	3	186	+1	[79 96 11]	1509	0.03018	0.5718133333333334
ATF4	[-1, 1, 1, 1, 1, 1, 1]	['IRF7', 'DDIT3', 'DDIT4', 'APOE', 'NUPR1', 'BGLAP', 'CEBPB']	7	798	+1	[ 92 313  80 167  98  37  11]	1840	0.0368	0.5718133333333334
PPARG	[1, 1, -1]	['ANGPTL4', 'CDKN1A', 'CCND1']	3	207	+1	[76 79 52]	2092	0.04184	0.5718133333333334
FOXM1	[1, 1, 1]	['FOS', 'CCND1', 'HSPA1B']	3	239	-1	[179  52   8]	3159	0.06318	0.5814545454545454
SMARCA4	[-1, 1, -1, 1]	['FOS', 'CDKN1A', 'CCND1', 'SGK1']	4	400	+1	[ 79  90 179  52]	3616	0.07232	0.5814545454545454
CREB1	[1, 1, 1]	['DUSP1', 'CCND1', 'FOS']	3	256	-1	[ 25  52 179]	3850	0.077	0.5814545454545454
USF1	[1, 1, 1]	['B2M', 'CTSD', 'S100A6']	3	256	-1	[  2 204  50]	3850	0.077	0.5814545454545454
MAML1	[-1, 1, -1]	['HEY1', 'PBX1', 'TNFRSF12A']	3	257	-1	[138  96  23]	3900	0.078	0.5814545454545454
ERG	[1, 1, 1]	['PIM1', 'SPP1', 'ADAMTS1']	3	272	+1	[ 35   4 233]	4641	0.09282	0.6041163636363636
NFKB1	[-1, 1, 1, 1, -1, 1, 1, 1, 1, 1]	['PDK4', 'TF', 'CXCL10', 'B2M', 'CDKN1A', 'HBEGF', 'IRF7', 'PLAUR', 'CCND1', 'S100A6']	10	1458	-1	[384  40   2 357  11 374  52  50 109  79]	5214	0.10428	0.6041163636363636
CEBPB	[1, 1, 1]	['SLC5A8', 'CDKN1A', 'KLF5']	3	284	+1	[153  79  52]	5265	0.1053	0.6041163636363636
IL8	[-1, 1, 1]	['STAT1', 'CTNNB1', 'RELA']	3	302	+1	[232  58  12]	6355	0.1271	0.6041163636363636
PPARA	[-1, 1, 1, 1, 1]	['TXNIP', 'NFKBIA', 'ANGPTL4', 'G0S2', 'PDK4']	5	627	+1	[123  76 195 109 124]	6438	0.12876	0.6041163636363636
AR	[1, -1, -1]	['CTNNB1', 'RELA', 'BTG1']	3	304	-1	[182  58  64]	6467	0.12934	0.6041163636363636
NELFCD	[1, -1, -1]	['CDKN1A', 'CCND1', 'CTNNB1']	3	313	+1	[ 79  52 182]	7047	0.14094	0.6041163636363636
SOX6	[1, -1, -1]	['CDKN1A', 'CCND1', 'CTNNB1']	3	313	+1	[ 79  52 182]	7047	0.14094	0.6041163636363636
MYCN	[-1, 1, 1]	['CLU', 'CDKN1A', 'CTSD']	3	322	+1	[ 79 210  33]	7721	0.15442	0.6041163636363636
TP53	[1, 1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, -1, 1, -1, 1, -1]	['LIF', 'THBS1', 'DUSP5', 'DUSP1', 'CDKN1A', 'HSP90AB1', 'DDIT4', 'RELA', 'TAP1', 'REEP5', 'CRYAB', 'SPP1', 'CCND1', 'BGLAP', 'HSPA1B', 'CTSD', 'CTNNB1']	17	2834	+1	[110 150  51 389  79 313  58 400 396   4  98 210  61 273  52   8 182]	7995	0.1599	0.6041163636363636
ABCB1	[1, 1, 1]	['RELA', 'CEBPB', 'CTNNB1']	3	327	+1	[ 58  37 232]	8104	0.16208	0.6041163636363636
STAT5A	[1, 1, 1]	['FOS', 'CDKN1A', 'PIM1']	3	349	+1	[235  79  35]	9891	0.19782	0.6310215384615385
NCOA1	[1, 1, 1]	['CDKN1A', 'ANGPTL4', 'G0S2']	3	350	+1	[ 79  76 195]	9983	0.19966	0.6310215384615385
SP3	[1, 1, 1]	['FOS', 'HBEGF', 'RELA']	3	350	+1	[235  57  58]	9983	0.19966	0.6310215384615385
NOTCH3	[-1, 1, -1, 1]	['APOD', 'HEY1', 'HES1', 'PBX1']	4	518	+1	[ 96 276  87  59]	10004	0.20008	0.6310215384615385
SNAI1	[-1, -1, 1]	['CLDN3', 'THBS1', 'HBEGF']	3	363	+1	[ 57  42 264]	11169	0.22338	0.6587528571428571
EZH2	[1, -1, -1]	['CCND1', 'CDKN1A', 'ADAMTS1']	3	364	-1	[ 52  79 233]	11247	0.22494	0.6587528571428571
PML	[-1, 1, -1]	['NR4A1', 'CDKN1A', 'CCND1']	3	386	+1	[ 79 255  52]	13450	0.269	0.7277258823529412
DNMT1	[-1, 1, -1]	['CDKN1A', 'CTNNB1', 'TIMP3']	3	386	-1	[182  79 125]	13450	0.269	0.7277258823529412
KAT2A	[1, 1, 1]	['CDKN1A', 'HEY1', 'HSPD1']	3	390	+1	[ 79  96 215]	13902	0.27804	0.7277258823529412
NR1I2	[1, 1, -1, 1]	['TNFRSF12A', 'FOSL1', 'RELA', 'THBS1']	4	571	+1	[ 23  42 150 356]	14560	0.2912	0.7277258823529412
IL10	[-1, -1, -1, -1, -1]	['CCL20', 'CSF3', 'CXCL10', 'CXCL2', 'LIF']	5	749	-1	[147  73 374  45 110]	14765	0.2953	0.7277258823529412
RBMX	[-1, -1, 1]	['FOSL1', 'FOS', 'TXNIP']	3	401	-1	[124  42 235]	15087	0.30174	0.7277258823529412
SRF	[1, 1, 1]	['FOSL1', 'FOS', 'TAGLN']	3	408	+1	[ 42 235 131]	15903	0.31806	0.7451691428571429
FOS	[1, -1, 1, 1, 1, 1, 1, 1, -1]	['KRT17', 'CLU', 'FOSL1', 'EDN1', 'STAT1', 'CCK', 'HSPH1', 'DDIT3', 'CCND1']	9	1516	+1	[120  42 378 402  15 382  92  33  52]	16824	0.33648	0.7664266666666667
ZBTB17	[-1, 1, -1, -1]	['CLU', 'CCND1', 'DDIT3', 'CDKN1A']	4	604	-1	[ 52 381  92  79]	17994	0.35988	0.7975718918918918
FOSL2	[1, 1, 1, 1]	['LIF', 'BGLAP', 'CCND1', 'FOSL1']	4	612	+1	[110  98 362  42]	18852	0.37704	0.800156
EGR1	[1, 1, -1, -1, 1, 1]	['PTP4A1', 'CCND1', 'WNT4', 'RELA', 'CDKN1A', 'PLAUR']	6	983	+1	[ 63 362  79  40  83 356]	19282	0.38564	0.800156
FOXA1	[1, 1, 1]	['KRT7', 'CCND1', 'ATP5PF']	3	437	-1	[222  52 163]	19516	0.39032	0.800156
CREBBP	[1, 1, 1, 1, 1, 1, 1, 1]	['EDN1', 'G0S2', 'NR4A1', 'ANGPTL4', 'PSMC5', 'HEY1', 'CDKN1A', 'SGK1']	8	1378	+1	[378 195 159  76 305  96  79  90]	20732	0.41464	0.82928
PPARD	[-1, 1, 1, 1]	['ANGPTL4', 'CTNNB1', 'TXN', 'PDK4']	4	637	-1	[182  74 305  76]	21696	0.43392	0.8427311627906976
BRCA1	[1, -1, -1, 1, 1, 1]	['STAT1', 'AREG', 'CTSD', 'CDKN1A', 'DDIT3', 'IRF7']	6	1012	-1	[ 12 335 322  11 122 210]	22096	0.44192	0.8427311627906976
KLF4	[1, 1, -1, 1]	['CDKN1A', 'KRT19', 'CTNNB1', 'CEBPB']	4	652	+1	[ 79 354  37 182]	23603	0.47206	0.8641373913043477
ESR1	[1, 1, -1, 1, 1, 1, -1, 1]	['CCND1', 'CTSD', 'CTNNB1', 'ATP5PF', 'HSPB1', 'CDKN1A', 'CD24', 'KRT19']	8	1414	-1	[ 52 204 163  19 335  60 232 349]	23936	0.47872	0.8641373913043477
USF2	[1, 1, 1]	['B2M', 'THBS1', 'CTSD']	3	470	-1	[  2 264 204]	24238	0.48476	0.8641373913043477
TP63	[-1, 1, 1, 1, -1]	['HES1', 'MFGE8', 'CDKN1A', 'DDIT4', 'KLF4']	5	853	+1	[348  79 313  59  54]	25337	0.50674	0.8769900000000002
EP300	[1, 1, 1, 1, 1, 1, 1]	['SGK1', 'CCND1', 'EDN1', 'NR4A1', 'ANGPTL4', 'CDKN1A', 'HEY1']	7	1240	+1	[ 90 362 378 159  76  79  96]	25668	0.51336	0.8769900000000002
HBP1	[-1, -1, -1]	['CCND1', 'MIF', 'CDKN1A']	3	485	+1	[ 52  98 335]	26440	0.5288	0.8821592156862745
RELA	[1, 1, 1, 1, 1, 1, 1, -1, 1]	['IRF7', 'S100A6', 'PLAUR', 'CCL20', 'TF', 'CXCL10', 'CCND1', 'PDK4', 'HBEGF']	9	1644	-1	[ 11  50 374 267 384  40  52 357 109]	27173	0.54346	0.8821592156862745
NR3C1	[-1, -1, -1, 1, 1]	['STAT1', 'KRT17', 'BGLAP', 'CDKN1A', 'CALD1']	5	871	+1	[ 79 170  12 294 316]	27433	0.54866	0.8821592156862745
NCOA6	[1, 1, 1]	['FOS', 'ANGPTL4', 'G0S2']	3	506	+1	[235  76 195]	29796	0.59592	0.9000085714285713
STAT1	[1, -1, 1, 1, 1, 1, 1, -1, 1]	['KRT17', 'CXCL10', 'EDN1', 'CDKN1A', 'HES1', 'HEY1', 'S100A10', 'HSP90AA1', 'IRF7']	9	1674	+1	[120 378  79 355  96 182 403  40  21]	30065	0.6013	0.9000085714285713
NPM1	[1, -1, 1]	['CTNNB1', 'HSPD1', 'CDKN1A']	3	510	+1	[232  79 199]	30421	0.60842	0.9000085714285713
STAT4	[1, 1, -1, 1]	['CFL1', 'MIF', 'TALDO1', 'PSME2']	4	704	-1	[231  98  16 359]	30693	0.61386	0.9000085714285713
HIF1A	[-1, 1, 1, 1, 1, 1, -1, 1, -1, 1]	['CTNNB1', 'TF', 'EDN1', 'NR4A1', 'MIF', 'BHLHE41', 'SDHB', 'HBEGF', 'CCND1', 'HIGD1A']	10	1878	+1	[ 30 378 159 316 132  57 336 182 236  52]	30732	0.61464	0.9000085714285713
FOSL1	[1, 1, -1, 1]	['CTNNB1', 'PLAUR', 'ITGAV', 'CCND1']	4	710	-1	[182 374  52 102]	31584	0.63168	0.901418064516129
MAX	[1, 1, 1, -1, 1, -1, 1, -1]	['GAPDH', 'HSP90AA1', 'FOSL1', 'CLU', 'NME1', 'DDIT3', 'HSPD1', 'CDKN1A']	8	1495	-1	[269  21 372  82 199 381  92  79]	31915	0.6383	0.901418064516129
RBPJ	[1, 1, 1]	['CDKN1A', 'CCND1', 'PBX1']	3	525	-1	[335  52 138]	32953	0.65906	0.901418064516129
JUND	[-1, 1, 1]	['ITGAV', 'FOSL1', 'CCND1']	3	526	-1	[372  52 102]	33125	0.6625	0.901418064516129
CDKN1A	[1, -1, 1]	['STAT1', 'CTNNB1', 'ID3']	3	529	-1	[ 12 285 232]	33597	0.67194	0.901418064516129
STAT3	[1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, -1]	['HSP90AA1', 'CCND1', 'KRT17', 'NME1', 'CTNNB1', 'CHI3L1', 'LTBP1', 'CEBPB', 'DDIT3', 'LIF', 'FOS', 'STAT1', 'HSPB1', 'CDKN1A', 'S100A11', 'PIM1', 'PSMB5', 'LGALS3BP']	18	3520	-1	[ 21  52 294  82 182 381 377 304 179  12  19 335  71 379 106 314  92 320]	34078	0.68156	0.901418064516129
NOTCH1	[1, 1, 1]	['CDKN1A', 'HEY1', 'CCND1']	3	537	+1	[ 79  96 362]	34915	0.6983	0.9088984126984128
ING4	[-1, 1, -1]	['SPP1', 'CDKN1A', 'CCND1']	3	541	+1	[ 79 410  52]	35613	0.71226	0.9125831249999999
E2F1	[-1, -1, 1, 1, 1, 1, 1, 1]	['PDK4', 'HES1', 'NR4A1', 'THBS1', 'RANBP1', 'DUSP1', 'CDKN1A', 'CCND1']	8	1555	-1	[255 264 160  25 335  52 109 355]	38303	0.76606	0.9197701265822785
JUN	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1]	['KRT17', 'LGALS3', 'CCND1', 'FOSL1', 'EDN1', 'PTN', 'CCK', 'LIF', 'HES1', 'HEY1', 'CDKN1A', 'CTNNB1', 'DDIT3', 'DUSP1', 'PLAUR']	15	2974	+1	[120 269 362  42 378 139  15 110 355  96 232  92 389  40 335]	38911	0.77822	0.9197701265822785
ELK1	[1, 1, -1]	['FOSL1', 'FOS', 'TAGLN']	3	560	+1	[ 42 235 283]	38914	0.77828	0.9197701265822785
FOXO1	[1, 1, -1]	['CDKN1A', 'KLF4', 'TXNIP']	3	563	+1	[ 79 360 124]	39474	0.78948	0.9197701265822785
TFAP2A	[-1, 1, 1]	['HSPD1', 'CRYAB', 'APOE']	3	567	-1	[ 18 334 215]	40171	0.80342	0.9197701265822785
SIRT1	[-1, -1, -1]	['CDKN1A', 'CCND1', 'CTNNB1']	3	569	+1	[335  52 182]	40544	0.81088	0.9197701265822785
MYC	[1, 1, 1, -1, 1, 1, -1, -1, 1, 1, -1]	['GAPDH', 'HSP90AA1', 'FOSL1', 'CLU', 'NME1', 'MME', 'DDIT3', 'CDKN1A', 'CTNNB1', 'HSPD1', 'CCND1']	11	2181	-1	[269  21 372  82 142 182 199 381  92  79 362]	40594	0.81188	0.9197701265822785
ATF2	[1, 1, 1, 1, 1, 1]	['DUSP5', 'DUSP1', 'DDIT3', 'HES1', 'RELA', 'CCND1']	6	1177	-1	[363  25 322  59 356  52]	41359	0.82718	0.9197701265822785
SP1	[1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	['SOX9', 'PLAUR', 'ITGAV', 'CCND1', 'CLDN3', 'KRT19', 'SLC5A8', 'MIF', 'RANBP1', 'HBEGF', 'RELA', 'TIMP3', 'CDKN1A', 'IRS2']	14	2802	-1	[ 56 374  52  42  60 261  98 160 357 356 289 335 260 102]	41540	0.8308	0.9197701265822785
MAPK1	[1, 1, 1]	['FOS', 'DUSP1', 'PLAUR']	3	578	-1	[179  25 374]	42129	0.84258	0.9197701265822785
MAPK3	[1, 1, 1]	['FOS', 'DUSP1', 'PLAUR']	3	578	-1	[179  25 374]	42129	0.84258	0.9197701265822785
HDAC1	[-1, -1, -1, 1, -1, -1, -1]	['SPP1', 'KLF4', 'FOS', 'CLDN7', 'TXNIP', 'HES1', 'CDKN1A']	7	1397	+1	[236 410  54 179 124  59 335]	43523	0.87046	0.9197701265822785
STAT6	[1, -1, 1]	['CD74', 'STAT1', 'FOS']	3	587	-1	[  6 179 402]	43706	0.87412	0.9197701265822785
NFKBIA	[-1, -1, -1]	['RELA', 'S100A6', 'CTNNB1']	3	588	+1	[356  50 182]	43890	0.8778	0.9197701265822785
FOXO3	[1, 1, 1, 1]	['TXNIP', 'CDKN1A', 'KLF4', 'BTG1']	4	793	+1	[290  79 360  64]	44306	0.88612	0.9197701265822785
ARNT	[1, -1, 1, 1, 1]	['HIGD1A', 'FOS', 'TF', 'EDN1', 'BHLHE41']	5	1015	-1	[ 78 384  36 282 235]	47095	0.9419	0.9630444444444445
CBFB	[-1, 1, 1]	['CDKN1A', 'SPP1', 'LGALS3']	3	608	+1	[  4 269 335]	47565	0.9513	0.9630444444444445
RB1	[1, -1, -1]	['BGLAP', 'FOS', 'CDKN1A']	3	612	+1	[ 98 179 335]	48252	0.96504	0.96504
